,child,itemId,Lemma,Singular IPA,Singular Code,Plural IPA,Plural Code,Parent Used Plural,Comments
1,oddParticipant,p1,book,,,,,,
3,oddParticipant,p2,chair,,,,,,
5,oddParticipant,p3,coat,,,,,,
7,oddParticipant,p4,dog,,,,,,
9,oddParticipant,1,pog,,,,,,
11,oddParticipant,2,rabbit,,,,,,
13,oddParticipant,3,nug,,,,,,
15,oddParticipant,4,star,,,,,,
17,oddParticipant,5,tep,,,,,,
19,oddParticipant,6,fip,,,,,,
21,oddParticipant,7,pig,,,,,,
23,oddParticipant,8,truck,,,,,,
25,oddParticipant,9,gub,,,,,,
27,oddParticipant,10,fork,,,,,,
29,oddParticipant,11,cup,,,,,,
31,oddParticipant,12,gop,,,,,,
33,oddParticipant,13,tig,,,,,,
35,oddParticipant,14,cow,,,,,,
37,oddParticipant,15,nep,,,,,,
39,oddParticipant,16,cat,,,,,,
41,evenParticipant,p1,book,,,,,,
43,evenParticipant,p2,chair,,,,,,
45,evenParticipant,p3,coat,,,,,,
47,evenParticipant,p4,dog,,,,,,
49,evenParticipant,1,bug,,,,,,
51,evenParticipant,2,mip,,,,,,
53,evenParticipant,3,deg,,,,,,
55,evenParticipant,4,frog,,,,,,
57,evenParticipant,5,nop,,,,,,
59,evenParticipant,6,boat,,,,,,
61,evenParticipant,7,kib,,,,,,
63,evenParticipant,8,teb,,,,,,
65,evenParticipant,9,plate,,,,,,
67,evenParticipant,10,ant,,,,,,
69,evenParticipant,11,pib,,,,,,
71,evenParticipant,12,dup,,,,,,
73,evenParticipant,13,duck,,,,,,
75,evenParticipant,14,spoon,,,,,,
77,evenParticipant,15,gip,,,,,,
79,evenParticipant,16,egg,,,,,,
81,pl10,p1,book,<skipped>,No Data,,,,
83,pl10,p2,chair,<skipped>,No Data,,,,
85,pl10,p3,coat,<skipped>,No Data,,,,
87,pl10,p4,dog,dog,singular,,,,
89,pl10,1,bug,ladybug,singular,two ladybug,non-conventional plural,,
91,pl10,2,mip,mip,singular,two mip,non-conventional plural,,
93,pl10,3,deg,deg,singular,two deg,non-conventional plural,,
95,pl10,4,frog,frog,singular,two frogs,plural,,
97,pl10,5,nop,nop,singular,two nop,non-conventional plural,,
99,pl10,6,boat,bout,singular,two boats,plural,,
101,pl10,7,kib,kib,singular,two kib,non-conventional plural,,
